unique_id,category,topping,filename_paste,on_disk,sized_well,rotation,inches,scale_factor,inch_variance,min_per,max_per,variant rarity,topping rarity,scatters,serving_size,mass,calories,potassium,vitamin_c,magnesium,vitamin_b5,vitamin_d,vitamin_b7,height,moisture_content,cholesterol,vitamin_a,dietary_fiber,vitamin_b6,sugar,protein,iron,complex_carb,selenium,vitamin_k,vitamin_b12,calories_from_fat,vitamin_e,zinc,saturated_fat,iodine,trans_fat,sodium,monosaturated_fat,calcium,riboflavin,thiamin,folate,added_sugar,chromium,manganese,mark_end
2030,sauce,bbq,2030-sauce-bbq,Y,N,,17,2.8,0,1,1,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2040,sauce,nutella,2040-sauce-nutella,Y,N,,18,3.0,0,1,1,,epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2050,sauce,white,2050-sauce-white,Y,N,,17,2.8,0,,,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2051,sauce,white,2051-sauce-white,Y,N,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2060,sauce,deepspace,2060-sauce-deepspace,Y,N,,17,2.8,0,1,1,,grail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2070,sauce,prismicfluid,2070-sauce-prismicfluid,Y,N,,17,2.8,0,1,1,,grail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2071,sauce,prismicfluid,2071-sauce-prismicfluid,Y,N,,17,2.8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2072,sauce,prismicfluid,2072-sauce-prismicfluid,Y,N,,17,2.8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2073,sauce,prismicfluid,2073-sauce-prismicfluid,Y,N,,17,2.8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2080,sauce,currysauce,2080-sauce-currysauce,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2090,sauce,redglitter,2090-sauce-redglitter,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2110,sauce,placenta,2110-sauce-placenta,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3000,cheese,mozzarella,3000-cheese-mozzarella,Y,N,,16.75,2.8,0,1,1,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3010,cheese,digitalvegan,3010-cheese-digitalvegan,Y,N,,16,2.7,0,1,1,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3020,cheese,ricotta,3020-cheese-ricotta,Y,N,,16,2.7,0,1,1,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3030,cheese,smokedmozzarella,3030-cheese-smokedmozzarella,Y,N,,16,2.7,0,1,1,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3031,cheese,smokedmozzarella,3031-cheese-smokedmozzarella,Y,N,,16,2.7,0,1,1,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3032,cheese,smokedmozzarella,3032-cheese-smokedmozzarella,Y,N,,12,2.0,1,1,1,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3033,cheese,smokedmozzarella,3033-cheese-smokedmozzarella,Y,N,,16,2.7,0,1,1,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3040,cheese,goat,3040-cheese-goat,N,N,,16,2.7,0,1,1,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3050,cheese,tvaruzek,3050-cheese-tvaruzek,Y,N,,16,2.7,0,1,1,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3051,cheese,tvaruzek,3051-cheese-tvaruzek,Y,N,,16,2.7,0,1,1,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3080,cheese,fetabits,3080-cheese-fetabits,Y,N,,16,2.7,0,1,1,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3090,cheese,chezdoge,3090-cheese-chezdoge,Y,N,,16,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3100,cheese,formaggi,3100-cheese-formaggi,Y,N,,16,2.7,0,1,1,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3110,cheese,,3110-cheese-,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3120,cheese,korbacik,3120-cheese-korbacik,Y,N,,2,0.3,0.25,2,4,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3140,cheese,,3140-cheese-,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3150,cheese,,3150-cheese-,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3160,cheese,,3160-cheese-,N,N,,,0.0,0,,,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3170,cheese,cheesecake,3170-cheese-cheesecake,Y,N,,15,2.5,0,1,1,,epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3171,cheese,cheesecake,3171-cheese-cheesecake,Y,N,,15,2.5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3190,cheese,gruyere,3190-cheese-gruyere,Y,N,,14,2.3,0,1,1,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3191,cheese,gruyere,3191-cheese-gruyere,Y,N,,14,2.3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3192,cheese,gruyere,3192-cheese-gruyere,Y,N,,14,2.3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3193,cheese,gruyere,3193-cheese-gruyere,Y,N,,14,2.3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
3194,cheese,gruyere,3194-cheese-gruyere,Y,N,,14,2.3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4000,topping-meat,pepperoni,4000-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4001,topping-meat,pepperoni,4001-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4002,topping-meat,pepperoni,4002-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4003,topping-meat,pepperoni,4003-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4004,topping-meat,pepperoni,4004-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4005,topping-meat,pepperoni,4005-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4006,topping-meat,pepperoni,4006-topping-meat-pepperoni,Y,U,360,1.9,0.3,0.25,16,26,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4010,topping-meat,salami,4010-topping-meat-salami,Y,U,360,4,0.7,0.3,14,22,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4011,topping-meat,salami,4011-topping-meat-salami,Y,U,360,4,0.7,0.3,14,22,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4012,topping-meat,salami,4012-topping-meat-salami,Y,U,360,4,0.7,0.3,14,22,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4020,topping-meat,turkeysausage,4020-topping-meat-turkeysausage,Y,U,360,5,0.8,0.65,6,10,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4021,topping-meat,turkeysausage,4021-topping-meat-turkeysausage,Y,U,360,5,0.8,0.65,6,10,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4030,topping-meat,spam,4030-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4031,topping-meat,spam,4031-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4032,topping-meat,spam,4032-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4033,topping-meat,spam,4033-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4034,topping-meat,spam,4034-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4035,topping-meat,spam,4035-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4036,topping-meat,spam,4036-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4037,topping-meat,spam,4037-topping-meat-spam,Y,U,360,4,0.7,0.25,8,12,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4038,topping-meat,spam,4038-topping-meat-spam,Y,U,360,8,1.3,0.25,8,12,epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4040,topping-meat,ham,4040-topping-meat-ham,Y,U,30,3.5,0.6,0.25,8,16,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4050,topping-meat,duck,4050-topping-meat-duck,Y,U,360,3.5,0.6,0.25,2,5,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4051,topping-meat,duck,4051-topping-meat-duck,Y,U,360,3.5,0.6,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4060,topping-meat,turkey,4060-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4061,topping-meat,turkey,4061-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4062,topping-meat,turkey,4062-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4063,topping-meat,turkey,4063-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4064,topping-meat,turkey,4064-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4065,topping-meat,turkey,4065-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4066,topping-meat,turkey,4066-topping-meat-turkey,Y,U,360,8,1.3,0.25,2,5,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4070,topping-meat,prosciutto,4070-topping-meat-prosciutto,Y,N,360,,0.0,,,,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4071,topping-meat,prosciutto,4071-topping-meat-prosciutto,Y,N,360,,0.0,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4072,topping-meat,prosciutto,4072-topping-meat-prosciutto,Y,N,360,,0.0,,,,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4080,topping-meat,butterchicken,4080-topping-meat-butterchicken,Y,Y,360,4.5,0.8,0.45,6,8,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4081,topping-meat,butterchicken,4081-topping-meat-butterchicken,Y,Y,360,4.5,0.8,0.45,6,8,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4082,topping-meat,butterchicken,4082-topping-meat-butterchicken,Y,Y,360,4.5,0.8,0.45,6,8,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4090,topping-meat,beef,4090-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4091,topping-meat,beef,4091-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4092,topping-meat,beef,4092-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4093,topping-meat,beef,4093-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4094,topping-meat,beef,4094-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4095,topping-meat,beef,4095-topping-meat-beef,Y,U,360,2.5,0.4,0.1,40,60,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4100,topping-meat,chickentikka,4100-topping-meat-chickentikka,Y,U,25,3.5,0.6,0.3,10,12,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4101,topping-meat,chickentikka,4101-topping-meat-chickentikka,Y,U,25,3.5,0.6,0.3,10,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4102,topping-meat,chickentikka,4102-topping-meat-chickentikka,Y,U,25,3.5,0.6,0.3,10,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4103,topping-meat,chickentikka,4103-topping-meat-chickentikka,Y,U,25,3.5,0.6,0.3,10,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4104,topping-meat,chickentikka,4104-topping-meat-chickentikka,Y,U,25,3.5,0.6,0.3,10,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4110,topping-meat,chorizo,4110-topping-meat-chorizo,Y,U,360,5,0.8,0.25,10,12,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4111,topping-meat,chorizo,4111-topping-meat-chorizo,Y,U,360,5,0.8,0.25,10,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4112,topping-meat,chorizo,4112-topping-meat-chorizo,Y,U,360,5,0.8,0.25,10,12,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4120,topping-meat,bbqchicken,4120-topping-meat-bbqchicken,Y,U,360,10,1.7,0.25,1,2,uncommon,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4130,topping-meat,bacon,4130-topping-meat-bacon,Y,U,360,4,0.7,0.3,8,12,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4131,topping-meat,bacon,4131-topping-meat-bacon,Y,U,360,4,0.7,0.3,8,12,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4132,topping-meat,bacon,4132-topping-meat-bacon,Y,U,360,4,0.7,0.3,8,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4133,topping-meat,bacon,4133-topping-meat-bacon,Y,U,360,4,0.7,0.3,8,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4134,topping-meat,bacon,4134-topping-meat-bacon,Y,U,360,4,0.7,0.3,8,12,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4140,topping-meat,venison,4140-topping-meat-venison,N,N,360,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4150,topping-meat,sausage,4150-topping-meat-sausage,Y,U,360,3,0.5,0.4,6,10,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4151,topping-meat,sausage,4151-topping-meat-sausage,Y,Y,360,4,0.7,0.4,6,10,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4152,topping-meat,sausage,4152-topping-meat-sausage,Y,Y,360,4,0.7,0.4,6,10,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4160,topping-meat,meatballs,4160-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4161,topping-meat,meatballs,4161-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4162,topping-meat,meatballs,4162-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4163,topping-meat,meatballs,4163-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4164,topping-meat,meatballs,4164-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4165,topping-meat,meatballs,4165-topping-meat-meatballs,Y,U,360,5,0.8,0.2,10,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4180,topping-meat,buffalochicken,4180-topping-meat-buffalochicken,Y,U,360,4,0.7,0.3,14,22,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4181,topping-meat,buffalochicken,4181-topping-meat-buffalochicken,Y,U,360,3,0.5,0.2,14,22,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4182,topping-meat,buffalochicken,4182-topping-meat-buffalochicken,Y,U,360,3,0.5,0.2,14,22,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4190,topping-meat,charsiupork,4190-topping-meat-charsiupork,Y,Y,360,3,0.5,0.3,12,18,common,uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4191,topping-meat,charsiupork,4191-topping-meat-charsiupork,Y,Y,360,3,0.5,0.3,12,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4192,topping-meat,charsiupork,4192-topping-meat-charsiupork,Y,Y,360,3,0.5,0.3,12,18,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4200,topping-meat,cheeseburger,4200-topping-meat-cheeseburger,Y,U,360,2,0.3,0.375,3,5,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4210,topping-meat,kitten,4210-topping-meat-kitten,Y,Y,360,6,1.0,0.6,5,7,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4211,topping-meat,kitten,4211-topping-meat-kitten,Y,U,360,5,0.8,0.6,5,7,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4212,topping-meat,kitten,4212-topping-meat-kitten,Y,Y,360,6,1.0,0.6,5,7,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4220,topping-meat,eyeball,4220-topping-meat-eyeball,Y,N,360,1.5,0.3,0,20,30,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4230,topping-meat,finger,4230-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4231,topping-meat,finger,4231-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4232,topping-meat,finger,4232-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4233,topping-meat,finger,4233-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4234,topping-meat,finger,4234-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4235,topping-meat,finger,4235-topping-meat-finger,Y,Y,360,3,0.5,0.25,12,14,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4240,topping-meat,rainbowpepperoni,4240-topping-meat-rainbowpepperoni,Y,Y,360,3.25,0.5,0,16,24,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4241,topping-meat,rainbowpepperoni,4241-topping-meat-rainbowpepperoni,Y,Y,360,3.25,0.5,0,16,24,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4250,topping-meat,kali,4250-topping-meat-kali,N,N,360,1.75,0.3,0,16,20,common,epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4260,topping-meat,bat,4260-topping-meat-bat,Y,N,360,6,1.0,0.6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4261,topping-meat,bat,4261-topping-meat-bat,Y,N,360,6,1.0,0.6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
4262,topping-meat,bat,4262-topping-meat-bat,Y,N,360,6,1.0,0.6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
