unique_id,category,topping,filename_paste,on_disk,img_size,inches,scale_factor,inch_variance,min_per,max_per,variant rarity,topping rarity,scatters,description,mark_end
3140,cheese,,3140-cheese-,N,#N/A,,0,0,,,,,,"This rare cheese topping is among our best, one taste and its Czech-mate. - DS",.
3150,cheese,,3150-cheese-,N,#N/A,,0,0,,,,,,"This rare cheese topping is among our best, one taste and its Czech-mate. - DS",.
3160,cheese,,3160-cheese-,N,#N/A,,0,0,,,,uncommon,,,.
3170,cheese,cheesecake,3170-cheese-cheesecake,Y,#N/A,15,2.5,0,1,1,,epic,,Tie-Die Cheese Cake,.
3171,cheese,cheesecake,3171-cheese-cheesecake,Y,#N/A,15,2.5,0,1,1,,,,Tie-Die Cheese Cake,.
3190,cheese,gruyere,3190-cheese-gruyere,Y,#N/A,14,2.333333333,0,1,1,,rare,,Allow me to burn your mouth,.
3191,cheese,gruyere,3191-cheese-gruyere,Y,#N/A,14,2.333333333,0,1,1,,,,Allow me to burn your mouth,.
3192,cheese,gruyere,3192-cheese-gruyere,Y,#N/A,14,2.333333333,0,1,1,,,,Allow me to burn your mouth,.
3193,cheese,gruyere,3193-cheese-gruyere,Y,#N/A,14,2.333333333,0,1,1,,,,Allow me to burn your mouth,.
3194,cheese,gruyere,3194-cheese-gruyere,Y,#N/A,14,2.333333333,0,1,1,,,,Allow me to burn your mouth,.
4000,topping-meat,pepperoni,4000-topping-meat-pepperoni,Y,1024x1024,1.75,0.2916666667,0.25,16,26,common,common,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4001,topping-meat,pepperoni,4001-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4002,topping-meat,pepperoni,4002-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4003,topping-meat,pepperoni,4003-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4004,topping-meat,pepperoni,4004-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4005,topping-meat,pepperoni,4005-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4006,topping-meat,pepperoni,4006-topping-meat-pepperoni,Y,#N/A,1.75,0.2916666667,0.25,16,26,common,,,A tasty cured meat classic to get you licking your lips. So good it will harden your pepperoni nips! - DS,.
4010,topping-meat,salami,4010-topping-meat-salami,Y,#N/A,2,0.3333333333,0.3,14,22,common,common,,The most peaceful of rare meat toppings. As-salami Alaikum!,.
4011,topping-meat,salami,4011-topping-meat-salami,Y,#N/A,2,0.3333333333,0.3,14,22,uncommon,,,The most peaceful of rare meat toppings. As-salami Alaikum!,.
4012,topping-meat,salami,4012-topping-meat-salami,Y,#N/A,2,0.3333333333,0.3,14,22,rare,,,The most peaceful of rare meat toppings. As-salami Alaikum!,.
4020,topping-meat,turkeysausage,4020-topping-meat-turkeysausage,Y,#N/A,4.5,0.75,0.65,6,10,common,uncommon,,Juicy sausage bits that are very good at concealing their doubts and sense of imposter syndrome. - DS,.
4021,topping-meat,turkeysausage,4021-topping-meat-turkeysausage,Y,#N/A,4.5,0.75,0.65,6,10,rare,,,Juicy sausage bits that are very good at concealing their doubts and sense of imposter syndrome. - DS,.
4030,topping-meat,spam,4030-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,common,uncommon,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4031,topping-meat,spam,4031-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,common,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4032,topping-meat,spam,4032-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,common,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4033,topping-meat,spam,4033-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,common,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4034,topping-meat,spam,4034-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,common,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4035,topping-meat,spam,4035-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,uncommon,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4036,topping-meat,spam,4036-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,rare,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4037,topping-meat,spam,4037-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,rare,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4038,topping-meat,spam,4038-topping-meat-spam,Y,#N/A,3,0.5,0.25,8,12,epic,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4040,topping-meat,ham,4040-topping-meat-ham,Y,#N/A,,0,,,,,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4050,topping-meat,duck,4050-topping-meat-duck,Y,#N/A,,0,,,,,,,"We got cheese and spam. Spam sauce cheese and spam, and spam spam spam and spam. - DS",.
4051,topping-meat,duck,4051-topping-meat-duck,Y,#N/A,,0,,,,,,,,.
4060,topping-meat,turkey,4060-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,common,uncommon,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4061,topping-meat,turkey,4061-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,uncommon,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4062,topping-meat,turkey,4062-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,uncommon,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4063,topping-meat,turkey,4063-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,uncommon,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4064,topping-meat,turkey,4064-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,uncommon,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4065,topping-meat,turkey,4065-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,uncommon,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4066,topping-meat,turkey,4066-topping-meat-turkey,Y,#N/A,3,0.5,0.25,10,12,rare,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4070,topping-meat,prosciutto,4070-topping-meat-prosciutto,N,#N/A,,0,,,,,,,Seasoned to perfection with our unique blend of jive. Can you dig it? - DS,.
4080,topping-meat,butterchicken,4080-topping-meat-butterchicken,Y,#N/A,4.5,0.75,0.45,6,8,common,uncommon,,,.
4081,topping-meat,butterchicken,4081-topping-meat-butterchicken,Y,#N/A,4.5,0.75,0.45,6,8,common,,,,.
4082,topping-meat,butterchicken,4082-topping-meat-butterchicken,Y,#N/A,4.5,0.75,0.45,6,8,common,,,,.
4090,topping-meat,beef,4090-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,common,uncommon,,like tiny ugly-shaped meatballs,.
4091,topping-meat,beef,4091-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,common,,,like tiny ugly-shaped meatballs,.
4092,topping-meat,beef,4092-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,uncommon,,,like tiny ugly-shaped meatballs,.
4093,topping-meat,beef,4093-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,uncommon,,,like tiny ugly-shaped meatballs,.
4094,topping-meat,beef,4094-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,rare,,,like tiny ugly-shaped meatballs,.
4095,topping-meat,beef,4095-topping-meat-beef,Y,#N/A,0.5,0.08333333333,0.1,40,60,rare,,,like tiny ugly-shaped meatballs,.
4100,topping-meat,chickentikka,4100-topping-meat-chickentikka,Y,4220x1404,3,0.5,0.3,10,12,common,uncommon,,"This rare topping is, surprisingly, the national dish of Britian. DS ",.
4101,topping-meat,chickentikka,4101-topping-meat-chickentikka,Y,4227x2652,3,0.5,0.3,10,12,common,,,,.
4102,topping-meat,chickentikka,4102-topping-meat-chickentikka,Y,4145x4225,3,0.5,0.3,10,12,uncommon,,,,.
4103,topping-meat,chickentikka,4103-topping-meat-chickentikka,Y,2551x5018,3,0.5,0.3,10,12,uncommon,,,,.
4104,topping-meat,chickentikka,4104-topping-meat-chickentikka,Y,1839x4221,3,0.5,0.3,10,12,uncommon,,,,.
4110,topping-meat,chorizo,4110-topping-meat-chorizo,Y,3378x3806,3,0.5,0.25,10,12,common,uncommon,,,.
4111,topping-meat,chorizo,4111-topping-meat-chorizo,Y,3378x3806,3,0.5,0.25,10,12,uncommon,,,,.
4112,topping-meat,chorizo,4112-topping-meat-chorizo,Y,3378x3806,3,0.5,0.25,10,12,rare,,,,.
4120,topping-meat,bbqchicken,4120-topping-meat-bbqchicken,Y,#N/A,8,1.333333333,0.25,1,2,uncommon,uncommon,,Much sweeter and endearing then its cousin: Jerk Chicken. -DS,.
4130,topping-meat,bacon,4130-topping-meat-bacon,Y,#N/A,3,0.5,0.3,8,12,common,common,,,.
4131,topping-meat,bacon,4131-topping-meat-bacon,Y,#N/A,3,0.5,0.3,8,12,common,,,,.
4132,topping-meat,bacon,4132-topping-meat-bacon,Y,#N/A,3,0.5,0.3,8,12,uncommon,,,,.
4133,topping-meat,bacon,4133-topping-meat-bacon,Y,#N/A,3,0.5,0.3,8,12,uncommon,,,,.
4134,topping-meat,bacon,4134-topping-meat-bacon,Y,#N/A,3,0.5,0.3,8,12,uncommon,,,,.
4140,topping-meat,venison,4140-topping-meat-venison,N,#N/A,,0,,,,,,,,.
4150,topping-meat,sausage,4150-topping-meat-sausage,Y,449x449,4,0.6666666667,0.4,6,10,common,common,,I got your sausage right here! - DS,.
4151,topping-meat,sausage,4151-topping-meat-sausage,Y,413x413,4,0.6666666667,0.4,6,10,common,,,I got your sausage right here! - DS,.
4152,topping-meat,sausage,4152-topping-meat-sausage,Y,568x568,4,0.6666666667,0.4,6,10,common,,,I got your sausage right here! - DS,.
4160,topping-meat,meatballs,4160-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,common,,,.
4161,topping-meat,meatballs,4161-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,,.
4162,topping-meat,meatballs,4162-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,,.
4163,topping-meat,meatballs,4163-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,,.
4164,topping-meat,meatballs,4164-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,,.
4165,topping-meat,meatballs,4165-topping-meat-meatballs,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,,.
4180,topping-meat,buffalochicken,4180-topping-meat-buffalochicken,Y,#N/A,3,0.5,0.3,12,14,common,common,,"In times past, uncountable herds of buffalo chicken would migrate across the great pizza planes of the U.S.A. - DS",.
4181,topping-meat,buffalochicken,4181-topping-meat-buffalochicken,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,"In times past, uncountable herds of buffalo chicken would migrate across the great pizza planes of the U.S.A. - DS",.
4182,topping-meat,buffalochicken,4182-topping-meat-buffalochicken,Y,#N/A,2,0.3333333333,0.2,14,22,common,,,"In times past, uncountable herds of buffalo chicken would migrate across the great pizza planes of the U.S.A. - DS",.
4190,topping-meat,charsiupork,4190-topping-meat-charsiupork,Y,#N/A,3,0.5,0.3,12,14,common,uncommon,,,.
4191,topping-meat,charsiupork,4191-topping-meat-charsiupork,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4192,topping-meat,charsiupork,4192-topping-meat-charsiupork,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4200,topping-meat,cheeseburger,4200-topping-meat-cheeseburger,Y,7701x7662,3.75,0.625,0.375,8,10,common,rare,,A topping only for the most decadent of pizza fans. - DS,.
4210,topping-meat,kitten,4210-topping-meat-kitten,Y,#N/A,6,1,0.6,5,7,common,rare,,,.
4211,topping-meat,kitten,4211-topping-meat-kitten,Y,#N/A,6,1,0.6,5,7,common,,,,.
4212,topping-meat,kitten,4212-topping-meat-kitten,Y,#N/A,6,1,0.6,5,7,common,,,,.
4220,topping-meat,eyeball,4220-topping-meat-eyeball,Y,#N/A,1.5,0.25,0,20,30,common,rare,,,.
4230,topping-meat,finger,4230-topping-meat-finger,Y,#N/A,3,0.5,0.25,12,14,common,rare,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4231,topping-meat,finger,4231-topping-meat-finger,Y,2048x2048,3,0.5,0.25,12,14,common,,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4232,topping-meat,finger,4232-topping-meat-finger,Y,#N/A,3,0.5,0.25,12,14,common,,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4233,topping-meat,finger,4233-topping-meat-finger,Y,2048x2048,3,0.5,0.25,12,14,common,,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4234,topping-meat,finger,4234-topping-meat-finger,Y,#N/A,3,0.5,0.25,12,14,common,,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4235,topping-meat,finger,4235-topping-meat-finger,Y,#N/A,3,0.5,0.25,12,14,common,,,A truly dedicated pizza slicer doesn't mind losing a finger or two.,.
4240,topping-meat,rainbowpepperoni,4240-topping-meat-rainbowpepperoni,Y,#N/A,1.75,0.2916666667,0,16,20,common,rare,,This topping is the result of our pizza scientists experimenting with LSD to create more obedient pigs. - DS,.
4241,topping-meat,rainbowpepperoni,4241-topping-meat-rainbowpepperoni,Y,#N/A,1.75,0.2916666667,0,16,20,common,,,This topping is the result of our pizza scientists experimenting with LSD to create more obedient pigs. - DS,.
4250,topping-meat,kali,4250-topping-meat-kali,Y,1034x1034,1.75,0.2916666667,0,16,20,common,epic,,This topping is the result of our pizza scientists experimenting with LSD to create more obedient pigs. - DS,.
4260,topping-meat,bat,4260-topping-meat-bat,Y,#N/A,6,1,0.6,5,7,,,,,.
4261,topping-meat,bat,4261-topping-meat-bat,Y,#N/A,6,1,0.6,5,7,,,,,.
4262,topping-meat,bat,4262-topping-meat-bat,Y,#N/A,6,1,0.6,5,7,,,,,.
4270,topping-meat,escargot,4270-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,common,rare,,,.
4271,topping-meat,escargot,4271-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,common,,,,.
4272,topping-meat,escargot,4272-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,common,,,,.
4273,topping-meat,escargot,4273-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,uncommon,,,,.
4274,topping-meat,escargot,4274-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,uncommon,,,,.
4275,topping-meat,escargot,4275-topping-meat-escargot,Y,#N/A,1.5,0.25,0.15,20,26,rare,,,,.
4280,topping-meat,roastbeef,4280-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,uncommon,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4281,topping-meat,roastbeef,4281-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4282,topping-meat,roastbeef,4282-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4283,topping-meat,roastbeef,4283-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4284,topping-meat,roastbeef,4284-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4285,topping-meat,roastbeef,4285-topping-meat-roastbeef,Y,#N/A,3,0.5,0.25,12,14,common,,,"The favorite meat topping of masters of the spoken word, of poets and cunning linguists.- DS",.
4290,topping-meat,owl,4290-topping-meat-owl,Y,#N/A,3,0.5,0.25,12,14,common,rare,,It's a hoot,.
4291,topping-meat,owl,4291-topping-meat-owl,Y,#N/A,3,0.5,0.25,12,14,uncommon,,,It's a hoot,.
4292,topping-meat,owl,4292-topping-meat-owl,Y,#N/A,3,0.5,0.25,12,14,uncommon,,,It's a hoot,.
4293,topping-meat,owl,4293-topping-meat-owl,Y,#N/A,3,0.5,0.25,12,14,rare,,,It's a hoot,.
4300,topping-meat,doves,4300-topping-meat-doves,N,#N/A,,0,,6,26,,,,It's a hoot,.
4310,topping-meat,froglegs,4310-topping-meat-froglegs,Y,2480x3508,3,0.5,0.25,12,14,common,uncommon,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4311,topping-meat,froglegs,4311-topping-meat-froglegs,Y,#N/A,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4312,topping-meat,froglegs,4312-topping-meat-froglegs,Y,#N/A,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4313,topping-meat,froglegs,4313-topping-meat-froglegs,Y,2480x2480,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4314,topping-meat,froglegs,4314-topping-meat-froglegs,Y,2480x2480,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4315,topping-meat,froglegs,4315-topping-meat-froglegs,Y,2480x2480,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4316,topping-meat,froglegs,4316-topping-meat-froglegs,Y,2480x2480,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4317,topping-meat,froglegs,4317-topping-meat-froglegs,Y,2480x2480,3,0.5,0.15,12,14,common,,,"Our frogs are raised in chemical pools to increase their unique tastiness and, according to Alex Jones,  alter their sexual orientation. - DS",.
4320,topping-meat,bologna,4320-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,common,uncommon,,,.
4321,topping-meat,bologna,4321-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4322,topping-meat,bologna,4322-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4323,topping-meat,bologna,4323-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4324,topping-meat,bologna,4324-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,common,,,,.
4325,topping-meat,bologna,4325-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,uncommon,,,,.
4326,topping-meat,bologna,4326-topping-meat-bologna,Y,#N/A,3,0.5,0.3,12,14,uncommon,,,,.
4330,topping-meat,dragon,4330-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4331,topping-meat,dragon,4331-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4332,topping-meat,dragon,4332-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4333,topping-meat,dragon,4333-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4334,topping-meat,dragon,4334-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4335,topping-meat,dragon,4335-topping-meat-dragon,Y,#N/A,,0,,,,,,,,.
4340,topping-meat,smokedturkey,4340-topping-meat-smokedturkey,Y,#N/A,6,1,0.6,4,5,common,uncommon,,This turkey is 420 friendly. - DS,.
4341,topping-meat,smokedturkey,4341-topping-meat-smokedturkey,Y,#N/A,6,1,0.6,4,5,common,,,This turkey is 420 friendly. - DS,.
4342,topping-meat,smokedturkey,4342-topping-meat-smokedturkey,Y,#N/A,6,1,0.6,4,5,common,,,This turkey is 420 friendly. - DS,.
